36m;900;"19 MONTANT 886 mm; 36 Traverse Sup/Inf 2000 mm; 36 Parecloses grands 666 mm; 36 Parecloses petits 2000 mm; 2 Parecloses 886 mm; Largeur des panneaux: 1982 mm; Hauteur des panneaux: 678 mm; Nombre de panneaux: 18; 19 Bouchons; 19 Platines; 76 Vis DIN 6328 6,3X75; 304 Vis DIN 7504N 4,8X19; 76 Chevilles CH M6X70; 76 Equerres;"
38m;900;"20 MONTANT 886 mm; 38 Traverse Sup/Inf 2000 mm; 38 Parecloses grands 666 mm; 38 Parecloses petits 2000 mm; 2 Parecloses 886 mm; Largeur des panneaux: 1982 mm; Hauteur des panneaux: 678 mm; Nombre de panneaux: 19; 20 Bouchons; 20 Platines; 80 Vis DIN 6328 6,3X75; 320 Vis DIN 7504N 4,8X19; 80 Chevilles CH M6X70; 80 Equerres;"
40m;900;"21 MONTANT 886 mm; 40 Traverse Sup/Inf 2000 mm; 40 Parecloses grands 666 mm; 40 Parecloses petits 2000 mm; 2 Parecloses 886 mm; Largeur des panneaux: 1982 mm; Hauteur des panneaux: 678 mm; Nombre de panneaux: 20; 21 Bouchons; 21 Platines; 84 Vis DIN 6328 6,3X75; 336 Vis DIN 7504N 4,8X19; 84 Chevilles CH M6X70; 84 Equerres;"
42m;900;"22 MONTANT 886 mm; 42 Traverse Sup/Inf 2000 mm; 42 Parecloses grands 666 mm; 42 Parecloses petits 2000 mm; 2 Parecloses 886 mm; Largeur des panneaux: 1982 mm; Hauteur des panneaux: 678 mm; Nombre de panneaux: 21; 22 Bouchons; 22 Platines; 88 Vis DIN 6328 6,3X75; 352 Vis DIN 7504N 4,8X19; 88 Chevilles CH M6X70; 88 Equerres;"
44m;900;"23 MONTANT 886 mm; 44 Traverse Sup/Inf 2000 mm; 44 Parecloses grands 666 mm; 44 Parecloses petits 2000 mm; 2 Parecloses 886 mm; Largeur des panneaux: 1982 mm; Hauteur des panneaux: 678 mm; Nombre de panneaux: 22; 23 Bouchons; 23 Platines; 92 Vis DIN 6328 6,3X75; 368 Vis DIN 7504N 4,8X19; 92 Chevilles CH M6X70; 92 Equerres;"
46m;900;"24 MONTANT 886 mm; 46 Traverse Sup/Inf 2000 mm; 46 Parecloses grands 666 mm; 46 Parecloses petits 2000 mm; 2 Parecloses 886 mm; Largeur des panneaux: 1982 mm; Hauteur des panneaux: 678 mm; Nombre de panneaux: 23; 24 Bouchons; 24 Platines; 96 Vis DIN 6328 6,3X75; 384 Vis DIN 7504N 4,8X19; 96 Chevilles CH M6X70; 96 Equerres;"
48m;900;"25 MONTANT 886 mm; 48 Traverse Sup/Inf 2000 mm; 48 Parecloses grands 666 mm; 48 Parecloses petits 2000 mm; 2 Parecloses 886 mm; Largeur des panneaux: 1982 mm; Hauteur des panneaux: 678 mm; Nombre de panneaux: 24; 25 Bouchons; 25 Platines; 100 Vis DIN 6328 6,3X75; 400 Vis DIN 7504N 4,8X19; 100 Chevilles CH M6X70; 100 Equerres;"
50m;900;"26 MONTANT 886 mm; 50 Traverse Sup/Inf 2000 mm; 50 Parecloses grands 666 mm; 50 Parecloses petits 2000 mm; 2 Parecloses 886 mm; Largeur des panneaux: 1982 mm; Hauteur des panneaux: 678 mm; Nombre de panneaux: 25; 26 Bouchons; 26 Platines; 104 Vis DIN 6328 6,3X75; 416 Vis DIN 7504N 4,8X19; 104 Chevilles CH M6X70; 104 Equerres;"
10m;1100;"6 MONTANT 1086 mm; 10 Traverse Sup/Inf 2000 mm; 10 Parecloses grands 866 mm; 10 Parecloses petits 2000 mm; 2 Parecloses 1086 mm; Largeur des panneaux: 1982 mm; Hauteur des panneaux: 878 mm; Nombre de panneaux: 5; 6 Bouchons; 6 Platines; 24 Vis DIN 6328 6,3X75; 96 Vis DIN 7504N 4,8X19; 24 Chevilles CH M6X70; 24 Equerres;"
12m;1100;"7 MONTANT 1086 mm; 12 Traverse Sup/Inf 2000 mm; 12 Parecloses grands 866 mm; 12 Parecloses petits 2000 mm; 2 Parecloses 1086 mm; Largeur des panneaux: 1982 mm; Hauteur des panneaux: 878 mm; Nombre de panneaux: 6; 7 Bouchons; 7 Platines; 28 Vis DIN 6328 6,3X75; 112 Vis DIN 7504N 4,8X19; 28 Chevilles CH M6X70; 28 Equerres;"
